indx,trigger1,trigger2,trigger3,context1,context2,context3,function1,function2,function3,content1,content2,content3,content4,time_start,time_end,duration,recur,singers_n,singers_age1,singers_age2,shape_type,appear_paint,appear_adorn,appear_cloth,appear_mask,appear_obj,restrict_sex,restrict_marry,restrict_grp1,restrict_grp2,audience_n,audience_age1,audience_age2,audience_sex,audience_marry,audience_grp1,audience_grp2,instrument_type1,instrument_type2,instrument_type3
354,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drama,Puberty and initiation,.,.,"Food processing (includes food preparation, storage, and preservation)",.,.,.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,Circle,.,Head/face & shoulders,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
355,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Drama,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,Socialization and education,.,Sleeping,Marriage,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,Solo singer,Adult,.,.,.,.,.,.,.,.,.,.,.,21-30 listeners,Adult,Adolescent/young adult,Female,Both married & unmarried,Initiates,Adults,Membranophone,.,.
356,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Gift giving,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,"Status, role, and prestige",.,Drives and emotions,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
357,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Status, role, and prestige",.,.,Pregnancy and childbirth,Infancy and childhood,"Status, role, and prestige",.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Membranophone,.,.
358,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,Games,Games,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drama,Socialization and education,Puberty and initiation,.,Avoidance and taboo,"Status, role, and prestige","Death (burials, funerals, mourning)",.,Morning (0700 to 1000),Morning (0700 to 1000),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
359,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Recreational and non-therapeutic drugs,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,Senescence,Human Biology,"Status, role, and prestige",.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
360,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Puberty and initiation,.,.,Marriage,Puberty and initiation,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
361,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Socialization and education,Puberty and initiation,.,Fauna,"Family (includes nuclear family, polygamy, adoption)",Gender roles and issues,.,Morning (0700 to 1000),Morning (0700 to 1000),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
362,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Fire,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,.,Fire,Pregnancy and childbirth,Infancy and childhood,.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
363,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Puberty and initiation,.,.,Food consumption,Marriage,.,.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
364,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Agriculture,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drama,Puberty and initiation,Socialization and education,.,Agriculture,Labor,.,.,Morning (0700 to 1000),Morning (0700 to 1000),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
365,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Puberty and initiation,.,.,Puberty and initiation,.,.,Gender roles and issues,.,.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,Adolescent/young adult,.,.,.,.,.,.,.
366,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Drama,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,"Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",Marriage,Gender roles and issues,.,Night (2200 to 0400),Night (2200 to 0400),.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,1,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
367,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Games,Recreational and non-therapeutic drugs,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,Socialization and education,.,Sex (not extramarital),Marriage,Puberty and initiation,Fauna,"Early morning (0400 to 0700) (includes daybreak, dawn)","Early morning (0400 to 0700) (includes daybreak, dawn)",.,.,Solo singer,Elder,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
368,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drama,.,Socialization and education,Puberty and initiation,.,Labor,Personality traits,Gender roles and issues,Norms,Midday (1000 to 1400),Midday (1000 to 1400),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
369,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drives and emotions,Socialization and education,Puberty and initiation,Ingroup antagonisms,Food consumption,Fauna,Avoidance and taboo,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Evening (1900 to 2200),Night (2200 to 0400),1-10 hours,No recurrence,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
370,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Humor,Recreational and non-therapeutic drugs,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,.,Fauna,Food consumption,Games,Daily routine,"Early morning (0400 to 0700) (includes daybreak, dawn)","Early morning (0400 to 0700) (includes daybreak, dawn)",.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Membranophone,.,.
371,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,Socialization and education,.,.,.,Morning (0700 to 1000),Morning (0700 to 1000),.,.,Multiple singers (number unknown),Adult,.,.,.,Head/face & shoulders,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
372,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drama,.,Puberty and initiation,.,.,Fauna,Gift giving,Dwellings,.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
373,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drama,.,Puberty and initiation,Socialization and education,.,Dance,Avoidance and taboo,Gender roles and issues,.,Midday (1000 to 1400),Midday (1000 to 1400),.,.,Multiple singers (number unknown),Adult,.,Line (or row),Entire body,Entire body,.,.,1,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
374,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Puberty and initiation,"Status, role, and prestige",.,Senescence,"Status, role, and prestige","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Midday (1000 to 1400),Midday (1000 to 1400),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
375,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Hunting and trapping,Puberty and initiation,.,.,Hunting and trapping,Marriage,.,.,Night (2200 to 0400),"Early morning (0400 to 0700) (includes daybreak, dawn)",.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
376,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Puberty and initiation,"Status, role, and prestige",.,Fauna,"Status, role, and prestige",Norms,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,Solo singer,Adult,.,.,.,Head/face & shoulders,Butt & groin,.,.,.,.,.,.,21-30 listeners,Adult,Adolescent/young adult,Female,Both married & unmarried,Initiates,Adults,Membranophone,.,.
377,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Socialization and education,Puberty and initiation,.,Fauna,Food consumption,Norms,Ideas about nature and people,Morning (0700 to 1000),Morning (0700 to 1000),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
378,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Interpersonal relations (includes love),"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,Ingroup antagonisms,.,Ingroup antagonisms,"Status, role, and prestige",Offenses and sanctions,Drives and emotions,Evening (1900 to 2200),Evening (1900 to 2200),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
379,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drives and emotions,Socialization and education,Puberty and initiation,Ingroup antagonisms,Drives and emotions,Conversation,.,.,Evening (1900 to 2200),Night (2200 to 0400),1-10 hours,No recurrence,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
380,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Games,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,Fishing,Pregnancy and childbirth,Infancy and childhood,Sex (not extramarital),Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,.,.,.
381,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Food consumption,.,Puberty and initiation,.,.,"Food processing (includes food preparation, storage, and preservation)",Agriculture,"Family (includes nuclear family, polygamy, adoption)",.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,2-5 singers,Adolescent/young adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
382,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Drama,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,"Sickness, medical care, and shamans",Drives and emotions,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,.,.,.,.,.,.,.,.,.,.,.,.,21-30 listeners,Adult,Adolescent/young adult,Female,Both married & unmarried,Initiates,Adults,Membranophone,.,.
383,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Puberty and initiation,.,.,Norms,Fauna,Gender roles and issues,Marriage,Evening (1900 to 2200),Evening (1900 to 2200),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
384,Puberty and initiation,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Travel and transportation,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,Labor,Drives and emotions,Fauna,Puberty and initiation,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,.,Head/face & shoulders,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,.,.,.
385,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Fire,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,.,Fire,Pregnancy and childbirth,.,.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
386,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Gift giving,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,"Status, role, and prestige",.,Human Biology,Norms,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Status, role, and prestige",Midday (1000 to 1400),Midday (1000 to 1400),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
387,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Dance,.,.,Puberty and initiation,.,.,Agriculture,Property,Fauna,.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,.,Head/face & shoulders,Head/face & shoulders,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
388,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Puberty and initiation,Socialization and education,.,Food consumption,Fauna,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Morning (0700 to 1000),Morning (0700 to 1000),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
389,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Puberty and initiation,Socialization and education,.,Marriage,Fauna,Socialization and education,.,Morning (0700 to 1000),Morning (0700 to 1000),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
390,Puberty and initiation,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,Travel and transportation,Fauna,Ideas about nature and people,.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
391,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drama,Puberty and initiation,Socialization and education,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Marriage,"Status, role, and prestige",Puberty and initiation,Morning (0700 to 1000),Morning (0700 to 1000),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
392,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Puberty and initiation,Socialization and education,.,"Family (includes nuclear family, polygamy, adoption)",Menstruation,Pregnancy and childbirth,.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
393,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Recreational and non-therapeutic drugs,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,Recreational and non-therapeutic drugs,Conversation,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
394,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,Fauna,Hunting and trapping,.,.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,Circle,Head/face & shoulders,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
395,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drives and emotions,Socialization and education,Puberty and initiation,Ingroup antagonisms,Marriage,Interpersonal relations (includes love),Ingroup antagonisms,Socialization and education,Evening (1900 to 2200),Night (2200 to 0400),1-10 hours,No recurrence,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
396,Puberty and initiation,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drama,.,Socialization and education,Puberty and initiation,.,Fauna,Labor,"Food processing (includes food preparation, storage, and preservation)",Gender roles and issues,Morning (0700 to 1000),Morning (0700 to 1000),.,.,Multiple singers (number unknown),Adult,.,Circle,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
397,Puberty and initiation,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,.,.,.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,Multiple singers (number unknown),Elder,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
398,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Puberty and initiation,Socialization and education,.,Interpersonal relations (includes love),Fauna,.,.,Morning (0700 to 1000),Morning (0700 to 1000),.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
399,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Puberty and initiation,"Status, role, and prestige",.,Human Biology,"Status, role, and prestige",.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
400,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Dance,.,.,Puberty and initiation,.,.,Fauna,Communication,Hunting and trapping,.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),Adult,.,.,Head/face & shoulders,Head/face & shoulders,.,.,.,.,.,.,.,2-5 listeners,Adult,Adolescent/young adult,Female,Unmarried,Initiates,.,Membranophone,.,.
401,Socialization and education,.,.,.,.,.,Socialization and education,Puberty and initiation,.,Socialization and education,Norms,.,.,.,.,.,.,Solo singer,Adult,.,.,.,.,.,.,.,.,.,.,.,Solo listener,Adult,.,Female,Married,Adults,.,.,.,.
402,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,Drama,Puberty and initiation,Socialization and education,.,"Food processing (includes food preparation, storage, and preservation)",Marriage,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
403,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,Puberty and initiation,.,.,Agriculture,.,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
404,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,Socialization and education,.,Human Biology,Personality traits,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
405,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Gift giving,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Socialization and education,Puberty and initiation,.,Infancy and childhood,Drives and emotions,"Family (includes nuclear family, polygamy, adoption)",Dwellings,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
406,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,Gift giving,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Puberty and initiation,.,.,"Family (includes nuclear family, polygamy, adoption)",Marriage,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
407,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,.,.,Fauna,Sorcery (creating sickness or bad luck),.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
408,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,.,.,Agriculture,Property,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
409,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,Socialization and education,.,Water and thirst,Dwellings,Marriage,Gender roles and issues,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
410,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Puberty and initiation,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Gift giving,.,Puberty and initiation,.,.,Fauna,"Status, role, and prestige","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Female,Both married & unmarried,Adults,.,Membranophone,.,.
