"","indx","cite_text_manual","cite_url_manual","cite_page_manual","cite_text","cite_url","cite_pages","cite_byline","cite_analyst","cite_language","cite_title","cite_docid","cite_author","cite_doctype","cite_docnum","cite_location","cite_date","cite_fielddate","cite_evaluation","cite_publisher","pubyear","pubnonenglish","cite_author.1","author_female","author_age","authorfield_science","authorfield_ethno","authorfield_linguistic","authorfield_education","authorfield_art","authorfield_medicine","authorfield_business","authorfield_religion","authorfield_govt","authorfield_socialscience","authorfield_travel","authorfield_local"
"889",889,"Bamrungsuk, Sumālī. 1995. “Love And Marriage: Mate Selection In Tewntieth-Century Central Thailand.” Chulalongkåonmahawitthayalai. Thai Studies. Bangkok, Thailand: Produced by Thai Studies Section Faculty of Arts, Chulalongkorn University, Chulalongkorn University Press.","http://ehrafworldcultures.yale.edu/document?id=ao07-061","157","Bamrungsuk, Sumālī. 1995. “Love And Marriage: Mate Selection In Tewntieth-Century Central Thailand.” Chulalongkåonmahawitthayalai. Thai Studies. Bangkok, Thailand: Produced by Thai Studies Section Faculty of Arts, Chulalongkorn University, Chulalongkorn University Press.","http://ehrafworldcultures.yale.edu/document?id=ao07-061","157","Sumalee Bumroongsook","Ian Skoggard; 1998","English","Love and marriage","ao07-061","Sumalee Bumroongsook","Monograph",61,"Central Thailand","1900-1990","1989","historian,","Bangkok, Thailand",1995,0,"Sumalee Bumroongsook",NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
"890",890,"Textor, Robert B., Cornell University. Southeast Asia Program, and Yale University. Southeast Asia Studies. 1973. “Roster Of The Gods: An Ethnography Of The Supernatural In A Thai Village.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.","http://ehrafworldcultures.yale.edu/document?id=ao07-011","482","Textor, Robert B., Cornell University. Southeast Asia Program, and Yale University. Southeast Asia Studies. 1973. “Roster Of The Gods: An Ethnography Of The Supernatural In A Thai Village.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.","http://ehrafworldcultures.yale.edu/document?id=ao07-011","482","by Robert B. Textor","David Sherwood ; 1984","English","Roster of the gods","ao07-011","Textor, Robert Bayard Cornell University. Southeast Asia Program Yale University. Southeast Asia Studies","Monograph",11,"Bang Chan, Thailand","1952-1971","1952-1971","ethnographer","New Haven, Conn.",1973,0,"Textor, Robert Bayard Cornell University. Southeast Asia Program Yale University. Southeast Asia Studies",0,50,0,1,0,0,0,0,0,0,0,0,0,0
"891",891,"Textor, Robert B., Cornell University. Southeast Asia Program, and Yale University. Southeast Asia Studies. 1973. “Roster Of The Gods: An Ethnography Of The Supernatural In A Thai Village.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.","http://ehrafworldcultures.yale.edu/document?id=ao07-011","514","Textor, Robert B., Cornell University. Southeast Asia Program, and Yale University. Southeast Asia Studies. 1973. “Roster Of The Gods: An Ethnography Of The Supernatural In A Thai Village.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.","http://ehrafworldcultures.yale.edu/document?id=ao07-011","514","by Robert B. Textor","David Sherwood ; 1984","English","Roster of the gods","ao07-011","Textor, Robert Bayard Cornell University. Southeast Asia Program Yale University. Southeast Asia Studies","Monograph",11,"Bang Chan, Thailand","1952-1971","1952-1971","ethnographer","New Haven, Conn.",1973,0,"Textor, Robert Bayard Cornell University. Southeast Asia Program Yale University. Southeast Asia Studies",0,50,0,1,0,0,0,0,0,0,0,0,0,0
"892",892,"Textor, Robert B., Cornell University. Southeast Asia Program, and Yale University. Southeast Asia Studies. 1973. “Roster Of The Gods: An Ethnography Of The Supernatural In A Thai Village.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.","http://ehrafworldcultures.yale.edu/document?id=ao07-011","549, 550","Textor, Robert B., Cornell University. Southeast Asia Program, and Yale University. Southeast Asia Studies. 1973. “Roster Of The Gods: An Ethnography Of The Supernatural In A Thai Village.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.","http://ehrafworldcultures.yale.edu/document?id=ao07-011","549, 550","by Robert B. Textor","David Sherwood ; 1984","English","Roster of the gods","ao07-011","Textor, Robert Bayard Cornell University. Southeast Asia Program Yale University. Southeast Asia Studies","Monograph",11,"Bang Chan, Thailand","1952-1971","1952-1971","ethnographer","New Haven, Conn.",1973,0,"Textor, Robert Bayard Cornell University. Southeast Asia Program Yale University. Southeast Asia Studies",0,50,0,1,0,0,0,0,0,0,0,0,0,0
"893",893,"Textor, Robert B., Cornell University. Southeast Asia Program, and Yale University. Southeast Asia Studies. 1973. “Roster Of The Gods: An Ethnography Of The Supernatural In A Thai Village.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.","http://ehrafworldcultures.yale.edu/document?id=ao07-011","568","","http://ehrafworldcultures.yale.edu/document?id=ao07-011","568","by Robert B. Textor","David Sherwood ; 1984","English","Roster of the gods","ao07-011","Textor, Robert Bayard Cornell University. Southeast Asia Program Yale University. Southeast Asia Studies","Monograph",11,"Bang Chan, Thailand","1952-1971","1952-1971","ethnographer","New Haven, Conn.",NA,0,"Textor, Robert Bayard Cornell University. Southeast Asia Program Yale University. Southeast Asia Studies",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
"894",894,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","120","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","120","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"895",895,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"896",896,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"897",897,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"898",898,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"899",899,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"900",900,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"901",901,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"902",902,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"903",903,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"904",904,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"905",905,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"906",906,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"907",907,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","138-142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"908",908,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","141","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","141","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"909",909,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","142","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","142","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"910",910,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","142-144","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","142-144","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"911",911,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","142-144","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","142-144","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"912",912,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","142, 143","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","142, 143","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"913",913,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","142-144","Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1910. “Chukchee Mythology: Chukchee Texts [Part 1], Chukchee Tales [Part 2].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-002","142-144","by Waldemar Bogoras","JMR ; 1950-1956","English","Chukchee mythology","ry02-002","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",2,"eastern Siberia, Russia","not specified","1900-1901","ethnologist","Leiden ; New York",1910,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",0,45,0,1,0,0,0,0,0,0,0,0,0,0
"914",914,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1909. “Chukchee: Material Culture [Part 1], Religion [Part 2], Social Organization [Part 3].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-001","40","","http://ehrafworldcultures.yale.edu/document?id=ry02-001","40","Vladimir Germanovich Bogoraz-Tan (Waldemar Bogoras)","WM ; 1950-1956","English","The Chukchee","ry02-001","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",1,"eastern Siberia, Russia","not specified","no date","ethnologist","Leiden ; New York",NA,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
"915",915,"Bogoraz-Tan, Waldemar), Vladimir Germanovich (Bogoras. 1909. “Chukchee: Material Culture [Part 1], Religion [Part 2], Social Organization [Part 3].” Memoirs. Leiden: E. J. Brill, Ltd. ; G. E. Stechert and Co.","http://ehrafworldcultures.yale.edu/document?id=ry02-001","398","","http://ehrafworldcultures.yale.edu/document?id=ry02-001","398","Vladimir Germanovich Bogoraz-Tan (Waldemar Bogoras)","WM ; 1950-1956","English","The Chukchee","ry02-001","Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936","Component part(s), monograph",1,"eastern Siberia, Russia","not specified","no date","ethnologist","Leiden ; New York",NA,0,"Bogoraz-Tan, Vladimir Germanovich (Bogoras, Waldemar), 1865-1936",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
