indx,ocm,cite_text,cite_url,cite_pages,cite_byline,cite_analyst,cite_language,cite_title,cite_docid,cite_author,cite_doctype,cite_docnum,cite_location,cite_date,cite_fielddate,cite_evaluation,cite_publisher
247,NUPTIALS (585); KIN RELATIONSHIPS (602),"Bouroncle Carreón, Alfonso, and Sidney Muirden. 1964. “Contribution To The Study Of The Aymara.” América Indígena 24 (2): 129–69, 233–69 [HRAF translation ms.: 98 ].",http://ehrafworldcultures.yale.edu/document?id=sf05-010,57,Alfonso Bouroncle Carreón,John Beierle,English translation from Spanish,Contribution to the study of the Aymara,sf05-010,"Bouroncle Carreón, Alfonso Muirden, Sidney",Journal Article,10,Peru,not specified,1960,Physician-5,"América Indígena -- Vol. 24, no. 2 and 3 1964. 129-169, 233-269 p. [HRAF translation ms."
248,REST DAYS AND HOLIDAYS (527); ADOLESCENT ACTIVITIES (883); DANCE (535),"Buechler, Hans C., and Judith-Maria Buechler. 1971. “Bolivian Aymara.” New York: Holt, Rinehart and Winston.",http://ehrafworldcultures.yale.edu/document?id=sf05-012,78,Hans C. Buechler and Judith-Maria Buechler,Barbara Yanchek ; John Beierle,English,The Bolivian Aymara,sf05-012,"Buechler, Hans C. Buechler, Judith-Maria",Monograph,12,"Compi, Bolivia",post 1953,1961-1969,Ethnologists-5,New York
249,REST DAYS AND HOLIDAYS (527); ADOLESCENT ACTIVITIES (883); DANCE (535),"Buechler, Hans C., and Judith-Maria Buechler. 1971. “Bolivian Aymara.” New York: Holt, Rinehart and Winston.",http://ehrafworldcultures.yale.edu/document?id=sf05-012,77,Hans C. Buechler and Judith-Maria Buechler,Barbara Yanchek ; John Beierle,English,The Bolivian Aymara,sf05-012,"Buechler, Hans C. Buechler, Judith-Maria",Monograph,12,"Compi, Bolivia",post 1953,1961-1969,Ethnologists-5,New York
250,REST DAYS AND HOLIDAYS (527); ADOLESCENT ACTIVITIES (883); DANCE (535),"Buechler, Hans C., and Judith-Maria Buechler. 1971. “Bolivian Aymara.” New York: Holt, Rinehart and Winston.",http://ehrafworldcultures.yale.edu/document?id=sf05-012,78,Hans C. Buechler and Judith-Maria Buechler,Barbara Yanchek ; John Beierle,English,The Bolivian Aymara,sf05-012,"Buechler, Hans C. Buechler, Judith-Maria",Monograph,12,"Compi, Bolivia",post 1953,1961-1969,Ethnologists-5,New York
251,DANCE (535); ADOLESCENT ACTIVITIES (883); REST DAYS AND HOLIDAYS (527),"Buechler, Hans C., and Judith-Maria Buechler. 1971. “Bolivian Aymara.” New York: Holt, Rinehart and Winston.",http://ehrafworldcultures.yale.edu/document?id=sf05-012,77,Hans C. Buechler and Judith-Maria Buechler,Barbara Yanchek ; John Beierle,English,The Bolivian Aymara,sf05-012,"Buechler, Hans C. Buechler, Judith-Maria",Monograph,12,"Compi, Bolivia",post 1953,1961-1969,Ethnologists-5,New York
252,ACCULTURATION AND CULTURE CONTACT (177); SPIRITS AND GODS (776); MAGICIANS AND DIVINERS (791); PRAYERS AND SACRIFICES (782); GIFT GIVING (431); ALCOHOLIC BEVERAGES (273); RECREATIONAL AND NON-THERAPEUTIC DRUGS (276); DWELLINGS (342); DANCE (535); KIN RELATIONSHIPS (602); REST DAYS AND HOLIDAYS (527); MUTUAL AID (476),"Buechler, Hans C., and Judith-Maria Buechler. 1971. “Bolivian Aymara.” New York: Holt, Rinehart and Winston.",http://ehrafworldcultures.yale.edu/document?id=sf05-012,80,Hans C. Buechler and Judith-Maria Buechler,Barbara Yanchek ; John Beierle,English,The Bolivian Aymara,sf05-012,"Buechler, Hans C. Buechler, Judith-Maria",Monograph,12,"Compi, Bolivia",post 1953,1961-1969,Ethnologists-5,New York
253,n/a,"Tschopik Jr, Harry. 1946. “Aymara.” Bulletin. Washington, D.C.: Smithsonian Institution.",http://ehrafworldcultures.yale.edu/document?id=sf05-001,555,Harry Tschopik Jr.,James Leary,English,The Aymara,sf05-001,"Tschopik, Harry Jr.",Essay,1,"Chucuito, Peru",not specified,1940-1942,Ethnologist-5,"Washington, D.C."
254,ORGANIZED CEREMONIAL (796); DANCE (535),,http://ehrafworldcultures.yale.edu/document?id=sf05-002,p. 259 b,Harry Tschopik Jr.,James Leary,English,"The Aymara of Chucuito, Peru",sf05-002,"Tschopik, Harry Jr.",Monograph,2,"Chucuito, Peru",not specified,1940-1942,Ethnologist-5,New York
255,n/a,"Tschopik Jr, Harry. 1946. “Aymara.” Bulletin. Washington, D.C.: Smithsonian Institution.",http://ehrafworldcultures.yale.edu/document?id=sf05-001,555,Harry Tschopik Jr.,James Leary,English,The Aymara,sf05-001,"Tschopik, Harry Jr.",Essay,1,"Chucuito, Peru",not specified,1940-1942,Ethnologist-5,"Washington, D.C."
256,ETHNOGEOGRAPHY (823); DANCE (535); MAGICIANS AND DIVINERS (791); ORGANIZED CEREMONIAL (796); PRAYERS AND SACRIFICES (782); MAGIC (789),"Hickman, John Marshall. 1971. “Aymara Of Chinchera, Peru: Persistence And Change In A Bicultural Context.” Ann Arbor, Mich.: University Microfilms.",http://ehrafworldcultures.yale.edu/document?id=sf05-013,109,John Marshall Hickman,Barbara Yanchek ; John Beierle,English,"The Aymara of Chinchera, Peru",sf05-013,"Hickman, John Marshall",Monograph,13,"Chinchera, Peru",not specified,1961-1962,Ethnologist-5,"Ann Arbor, Mich."
257,NUMEROLOGY (801); PROVINCES (635); TRANSMISSION OF MESSAGES (202); DANCE (535); PRAYERS AND SACRIFICES (782); RELIGIOUS OFFENSES (688); ALCOHOLIC BEVERAGES (273); RITUAL (788); MAGIC (789); MAGICIANS AND DIVINERS (791); RECREATIONAL AND NON-THERAPEUTIC DRUGS (276); OBSERVATION IN RESEARCH (123); ORGANIZED CEREMONIAL (796); RECORDING AND COLLECTING IN THE FIELD (126),"Hickman, John Marshall. 1971. “Aymara Of Chinchera, Peru: Persistence And Change In A Bicultural Context.” Ann Arbor, Mich.: University Microfilms.",http://ehrafworldcultures.yale.edu/document?id=sf05-013,110,John Marshall Hickman,Barbara Yanchek ; John Beierle,English,"The Aymara of Chinchera, Peru",sf05-013,"Hickman, John Marshall",Monograph,13,"Chinchera, Peru",not specified,1961-1962,Ethnologist-5,"Ann Arbor, Mich."
258,ORGANIZED CEREMONIAL (796); DANCE (535),,http://ehrafworldcultures.yale.edu/document?id=sf05-002,p. 259 b,Harry Tschopik Jr.,James Leary,English,"The Aymara of Chucuito, Peru",sf05-002,"Tschopik, Harry Jr.",Monograph,2,"Chucuito, Peru",not specified,1940-1942,Ethnologist-5,New York
259,ORGANIZED CEREMONIAL (796); DANCE (535),,http://ehrafworldcultures.yale.edu/document?id=sf05-002,p. 260 a,Harry Tschopik Jr.,James Leary,English,"The Aymara of Chucuito, Peru",sf05-002,"Tschopik, Harry Jr.",Monograph,2,"Chucuito, Peru",not specified,1940-1942,Ethnologist-5,New York
260,n/a,"Tschopik Jr, Harry. 1946. “Aymara.” Bulletin. Washington, D.C.: Smithsonian Institution.",http://ehrafworldcultures.yale.edu/document?id=sf05-001,555,Harry Tschopik Jr.,James Leary,English,The Aymara,sf05-001,"Tschopik, Harry Jr.",Essay,1,"Chucuito, Peru",not specified,1940-1942,Ethnologist-5,"Washington, D.C."
261,n/a,"Chervin, Arthur. 1913. “Aymaras And Quichuas: A Study Of Bolivian Anthropology.” Proceedings Of The International Congress Of Americanists, 63–74.",http://ehrafworldcultures.yale.edu/document?id=sf05-008,68,Arthur Chervin,James Leary,English,Aymaras and Quichuas,sf05-008,"Chervin, Arthur, 1850-1921",Journal Article,8,Bolivia,not specified,No date,Physician-4,"Proceedings of the International Congress of Americanists -- Session 18, part 1 1913. 63-74 p."
262,REST DAYS AND HOLIDAYS (527); DANCE (535); SPECIAL GARMENTS (292); SPEECH (191),"Métraux, Alfred, and Priscilla Reynolds. 1934. “Contribution To Andean Folklore.” Journal De La Société Des Américanistes 26: 67–102 [HRAF translation ms.: 46 ].",http://ehrafworldcultures.yale.edu/document?id=sf05-009,43,Alfred Métraux,John Beierle,English translation from French,Contribution to Andean folklore,sf05-009,"Métraux, Alfred, 1902-1963 Reynolds, Priscilla",Journal Article,9,"Carangas Province, Bolivia",not specified,1930-1931,Ethnologist-5,"Journal de la Société des Américanistes -- n.s., Vol. 26 1934. 67-102 p. [HRAF translation ms."
263,n/a,"Evans-Pritchard, E. E. (Edward Evan. 1936. “Zande Theology.” Sudan Notes And Records. [s.n.].",http://ehrafworldcultures.yale.edu/document?id=fo07-005,28,E. E. Evans-Pritchard,KS; 1950-1956,English,Zande theology,fo07-005,"Evans-Pritchard, E. E. (Edward Evan) 1902-1973",component part(s) monograph,5,Sudan,1926-1929,1926-1929,Social Anthropologist-5,Sudan notes and records -- Vol. 19 Khartoum [etc.]
264,DANCE (535),"Larken, P. M. 1926–1927. “Account Of The Zande.” Sudan Notes And Records. Khartoum: [s.n.].",http://ehrafworldcultures.yale.edu/document?id=fo07-008,"106b, 106-107a, 106-107b, 107-8",P. M. Larken,KS; 1950-1956,English,An account of the Zande,fo07-008,"Larken, P. M.",component part(s) monograph,8,"Sudan, Democratic Republic of the Congo, and Central African Republic",not specified,ca. 1925,Government Official-5,"Sudan notes and records -- Vol. 9, Vol. 10 Khartoum"
265,n/a,"Evans-Pritchard, E. E. (Edward Evan). 1928. “Dance.” Africa. London: Oxford University Press.",http://ehrafworldcultures.yale.edu/document?id=fo07-006,"448-451(4), 448-451(5)",E. E. Evans-Pritchard,KS; 1950-1956,English,The dance,fo07-006,"Evans-Pritchard, E. E. (Edward Evan), 1902-1973",component part(s) monograph,6,"Sudan, Democratic Republic of the Congo, and Central African Republic",1926-1927,1926-1927,Social Anthropologist-5,Africa -- Vol. 1 London
266,n/a,"Evans-Pritchard, E. E. (Edward Evan). 1928. “Dance.” Africa. London: Oxford University Press.",http://ehrafworldcultures.yale.edu/document?id=fo07-006,448-451(3),E. E. Evans-Pritchard,KS; 1950-1956,English,The dance,fo07-006,"Evans-Pritchard, E. E. (Edward Evan), 1902-1973",component part(s) monograph,6,"Sudan, Democratic Republic of the Congo, and Central African Republic",1926-1927,1926-1927,Social Anthropologist-5,Africa -- Vol. 1 London
267,<DELETE>,,,,,,,,,,,,,,,,
268,n/a,"Evans-Pritchard, E. E. (Edward Evan). 1957. “Zande Warfare.” Anthropos 52. Posieux (Freiburg), Schweiz: 239–62.",http://ehrafworldcultures.yale.edu/document?id=fo07-057,251,E. E. Evans-Pritchard,Gilbert Winer; Robert O. Lagacé; 1968-1969,English,Zande warfare,fo07-057,"Evans-Pritchard, E. E. (Edward Evan), 1902-1973",journal article,57,Sudan,ca. 1865-ca. 1905,1926-1930,"Social Anthropologist-4,5","Anthropos -- Vol. 52 Posieux (Freiburg), Schweiz"
269,n/a,"Evans-Pritchard, E. E. (Edward Evan). 1957. “Zande Warfare.” Anthropos 52. Posieux (Freiburg), Schweiz: 239–62.",http://ehrafworldcultures.yale.edu/document?id=fo07-057,251,E. E. Evans-Pritchard,Gilbert Winer; Robert O. Lagacé; 1968-1969,English,Zande warfare,fo07-057,"Evans-Pritchard, E. E. (Edward Evan), 1902-1973",journal article,57,Sudan,ca. 1865-ca. 1905,1926-1930,"Social Anthropologist-4,5","Anthropos -- Vol. 52 Posieux (Freiburg), Schweiz"
270,VOCABULARY (192); ETHICS (577); AFTERMATH OF COMBAT (727); HISTORICAL RECONSTRUCTION (174); OFFENSES AGAINST THE STATE (687); BODY ALTERATIONS (304); WARFARE (726); DANCE (535); TACTICS (725),"Evans-Pritchard, E. E. (Edward Evan). 1971. “Azande: History And Political Institutions.” Oxford: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fo07-068,248,E. E. Evans-Pritchard,Sarah T. Bridges; Sigrid Khera; 1973,English,The Azande,fo07-068,"Evans-Pritchard, E. E., (Edward Evan) 1902-1973",monograph,68,"Gbudwe Kingdom, Valley of Sueh, Sudan",ca. 1863 - 1930,1926-1930,Social Anthropologist-5,Oxford
271,MAGICIANS AND DIVINERS (791),"Evans-Pritchard, E. E. (Edward Evan). 1937. “Witchcraft, Oracles And Magic Among The Azande.” Oxford: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fo07-071,"181, 182",E. E. Evans-Pritchard and Foreword C. G. Seligman,John Beierle; 1997,English,"Witchcraft, oracles and magic among the Azande",fo07-071,"Evans-Pritchard, E. E., (Edward Evan), 1902-1973",monograph,71,"Zande District, Sudan",1926-1929,1926-1930,Social Anthropologist-5,Oxford
272,PUBERTY AND INITIATION (881); ORGANIZED CEREMONIAL (796); MAGICIANS AND DIVINERS (791),"Gillies, Eva, and John Beierle. 1999. “Culture Summary: Azande.” New Haven, Conn.: HRAF.",http://ehrafworldcultures.yale.edu/document?id=fo07-000,8,By Eva Gillies and John Beierle,John Beierle,English,Culture summary,fo07-000,"Gillies, Eva Beierle, John",essay,000,"Sudan, Democratic Republic of the Congo, and Central African Republica",not specified,no date,Ethnologist - 4,"New Haven, Conn."
273,MAGICIANS AND DIVINERS (791),"Evans-Pritchard, E. E. (Edward Evan). 1937. “Witchcraft, Oracles And Magic Among The Azande.” Oxford: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fo07-071,"181, 182",E. E. Evans-Pritchard and Foreword C. G. Seligman,John Beierle; 1997,English,"Witchcraft, oracles and magic among the Azande",fo07-071,"Evans-Pritchard, E. E., (Edward Evan), 1902-1973",monograph,71,"Zande District, Sudan",1926-1929,1926-1930,Social Anthropologist-5,Oxford
274,MAGICIANS AND DIVINERS (791); REVELATION AND DIVINATION (787); DANCE (535); ETHNOPSYCHOLOGY (828),"Evans-Pritchard, E. E. (Edward Evan). 1937. “Witchcraft, Oracles And Magic Among The Azande.” Oxford: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fo07-071,"177, 178, 180",E. E. Evans-Pritchard and Foreword C. G. Seligman,John Beierle; 1997,English,"Witchcraft, oracles and magic among the Azande",fo07-071,"Evans-Pritchard, E. E., (Edward Evan), 1902-1973",monograph,71,"Zande District, Sudan",1926-1929,1926-1930,Social Anthropologist-5,Oxford
275,n/a,"Evans-Pritchard, E. E. (Edward Evan). 1937. “Witchcraft, Oracles And Magic Among The Azande.” Oxford: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fo07-071,182,E. E. Evans-Pritchard and Foreword C. G. Seligman,John Beierle; 1997,English,"Witchcraft, oracles and magic among the Azande",fo07-071,"Evans-Pritchard, E. E., (Edward Evan), 1902-1973",monograph,71,"Zande District, Sudan",1926-1929,1926-1930,Social Anthropologist-5,Oxford
276,n/a,"Evans-Pritchard, E. E. (Edward Evan). 1937. “Witchcraft, Oracles And Magic Among The Azande.” Oxford: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fo07-071,182,E. E. Evans-Pritchard and Foreword C. G. Seligman,John Beierle; 1997,English,"Witchcraft, oracles and magic among the Azande",fo07-071,"Evans-Pritchard, E. E., (Edward Evan), 1902-1973",monograph,71,"Zande District, Sudan",1926-1929,1926-1930,Social Anthropologist-5,Oxford
277,BEHAVIOR TOWARD NON-RELATIVES (609); NORMAL GARB (291); SPECIAL GARMENTS (292); MUSICAL AND THEATRICAL PRODUCTIONS (545); SOCIOCULTURAL TRENDS (178); REVIEWS AND CRITIQUES (114); CHIEF EXECUTIVE (643); MUSICAL INSTRUMENTS (534); CULTURAL PARTICIPATION (184); EXECUTIVE HOUSEHOLD (644),"Evans-Pritchard, E. E. (Edward Evan). 1962. “Zande Kings And Princes.” Essays In Social Anthropology. London: Faber and Faber.",http://ehrafworldcultures.yale.edu/document?id=fo07-058,"108, 109",E. E. Evans-Pritchard,Gilbert Winer; Robert O. Lagacé; 1968-1969,English,Zande Kings and Princes,fo07-058,"Evans-Pritchard, E. E., (Edward Evan), 1902-1973",essay,58,Sudan,ca. 1865-ca. 1905,1926-1930,"Social Anthropologist-4,5",Essays in social anthropology London
278,MUSICAL INSTRUMENTS (534); VISUAL ARTS (5311),"Gillies, Eva, and John Beierle. 1999. “Culture Summary: Azande.” New Haven, Conn.: HRAF.",http://ehrafworldcultures.yale.edu/document?id=fo07-000,8,By Eva Gillies and John Beierle,John Beierle,English,Culture summary,fo07-000,"Gillies, Eva Beierle, John",essay,000,"Sudan, Democratic Republic of the Congo, and Central African Republica",not specified,no date,Ethnologist - 4,"New Haven, Conn."
279,CHIEF EXECUTIVE (643),"Junker, Wilhelm. 1892. “Travels In Africa During The Years 1882-1886.” London: Chapman and Hall, Ltd.",http://ehrafworldcultures.yale.edu/document?id=fo07-023,21,Wilhelm Junker,1950-1956,English,Travels in Africa during the years 1882-1886,fo07-023,"Junker, Wilhelm, 1840-1892",component part(s) monograph,23,"Sudan, Democratic Republic of the Congo, and Central African Republic",1882-1886,1882-1886,Traveler-5,London
280,n/a,"Larken, P. M. 1926–1927. “Account Of The Zande.” Sudan Notes And Records. Khartoum: [s.n.].",http://ehrafworldcultures.yale.edu/document?id=fo07-008,105-6,P. M. Larken,KS; 1950-1956,English,An account of the Zande,fo07-008,"Larken, P. M.",component part(s) monograph,8,"Sudan, Democratic Republic of the Congo, and Central African Republic",not specified,ca. 1925,Government Official-5,"Sudan notes and records -- Vol. 9, Vol. 10 Khartoum"
281,n/a,"Larken, P. M. 1926–1927. “Account Of The Zande.” Sudan Notes And Records. Khartoum: [s.n.].",http://ehrafworldcultures.yale.edu/document?id=fo07-008,105-6,P. M. Larken,KS; 1950-1956,English,An account of the Zande,fo07-008,"Larken, P. M.",component part(s) monograph,8,"Sudan, Democratic Republic of the Congo, and Central African Republic",not specified,ca. 1925,Government Official-5,"Sudan notes and records -- Vol. 9, Vol. 10 Khartoum"
282,CULT OF THE DEAD (769); GENERAL CHARACTER OF RELIGION (771); SPIRITS AND GODS (776); PRAYERS AND SACRIFICES (782); ORGANIZED CEREMONIAL (796),"Seligman, C. G. (Charles Gabriel), and Brenda Z. (Salaman) Seligman. 1932. “Azande.” Pagan Tribes Of The Nilotic Sudan. London: George Routledge and Sons, Ltd.",http://ehrafworldcultures.yale.edu/document?id=fo07-072,"520, 521",Charles Gabriel Seligman and Brenda Z. Seligman,John Beierle; 1997,English,The Azande,fo07-072,"Seligman, C. G. (Charles Gabriel), 1873-1940",component part(s) monograph,72,"Sudan, Democratic Republic of the Congo, and Central African Republic",not specified,1926-1929,Ethnologists-5,Pagan tribes of the Nilotic Sudan London
283,VOCABULARY (192); SEMANTICS (196); PRESS (204); ETHNOSOCIOLOGY (829); BIBLIOGRAPHIES IN SOURCES (113); GENDER STATUS (562); ETHNIC STRATIFICATION (563); ETHNOANATOMY (826); SPECTACLES (541),"Alzevedo, Thales de, and Frieda Schütze. 1953. “Colored Elite In A Brazilian City.” Paris: UNESCO.",http://ehrafworldcultures.yale.edu/document?id=so11-005,11,Thales de Azevedo and Photographs by Pierre Verger,Sigrid Khera; John Beierle; 1970,English translation from French,The colored elite in a Brazilian city,so11-005,"Azevedo, Thales de Schütze, Frieda",monograph,5,"Salvador, Bahia, Brazil",1500 - 1951,Feb. 1951 - Oct. 1951,"Physical Anthropologist, Sociologist-5",Paris
284,SOCIOCULTURAL TRENDS (178); CLASSES (565); ARRANGING A MARRIAGE (584); CONGREGATIONS (794); REST DAYS AND HOLIDAYS (527),"Borges, Dain Edward. 1994. “Family In Bahia, Brazil, 1870-1945.” Stanford, Calif.: Stanford University Press.",http://ehrafworldcultures.yale.edu/document?id=so11-007,184,Dain Borges,John Beierle; 1998,English,"The family in Bahia, Brazil, 1870-1945",so11-007,"Borges, Dain Edward",monograph,7,"Salvador,Bahia, Brazil",1870-1945,"1981, 1987","Ethnologist-4,5","Stanford, Calif."
285,SOCIOCULTURAL TRENDS (178); CLASSES (565); ARRANGING A MARRIAGE (584); CONGREGATIONS (794); REST DAYS AND HOLIDAYS (527),"Borges, Dain Edward. 1994. “Family In Bahia, Brazil, 1870-1945.” Stanford, Calif.: Stanford University Press.",http://ehrafworldcultures.yale.edu/document?id=so11-007,184,Dain Borges,John Beierle; 1998,English,"The family in Bahia, Brazil, 1870-1945",so11-007,"Borges, Dain Edward",monograph,7,"Salvador,Bahia, Brazil",1870-1945,"1981, 1987","Ethnologist-4,5","Stanford, Calif."
286,REVIEWS AND CRITIQUES (114); SODALITIES (575); CULTURAL IDENTITY AND PRIDE (186); SPECTACLES (541),"Dunn, Christopher. 1992. “Afro-Bahian Carnival: A Stage For Protest.” Afro-Hispanic Review 11 (1-3). Washington, D.C.: 11–20.",http://ehrafworldcultures.yale.edu/document?id=so11-008,12,by Christopher Dunn,John Beierle; 1998,English,Afro-Bahian carnival,so11-008,"Dunn, Christopher",journal article,8,"Salvador, Bahia, Brazil",not specified,ca. 1990,Ethnologist-5,"Afro-Hispanic review -- Vol. 11, no. 1-3 Washington, D.C."
287,REVIEWS AND CRITIQUES (114); SPECTACLES (541); CULTURAL IDENTITY AND PRIDE (186); FUNCTIONAL/ADAPTATIONAL INTERPRETATIONS (182),"Dunn, Christopher. 1992. “Afro-Bahian Carnival: A Stage For Protest.” Afro-Hispanic Review 11 (1-3). Washington, D.C.: 11–20.",http://ehrafworldcultures.yale.edu/document?id=so11-008,12,by Christopher Dunn,John Beierle; 1998,English,Afro-Bahian carnival,so11-008,"Dunn, Christopher",journal article,8,"Salvador, Bahia, Brazil",not specified,ca. 1990,Ethnologist-5,"Afro-Hispanic review -- Vol. 11, no. 1-3 Washington, D.C."
288,SOCIOCULTURAL TRENDS (178); SLAVERY (567); SPIRITS AND GODS (776); CONGREGATIONS (794); ORGANIZED CEREMONIAL (796); SODALITIES (575),"Dunn, Christopher. 1992. “Afro-Bahian Carnival: A Stage For Protest.” Afro-Hispanic Review 11 (1-3). Washington, D.C.: 11–20.",http://ehrafworldcultures.yale.edu/document?id=so11-008,13,by Christopher Dunn,John Beierle; 1998,English,Afro-Bahian carnival,so11-008,"Dunn, Christopher",journal article,8,"Salvador, Bahia, Brazil",not specified,ca. 1990,Ethnologist-5,"Afro-Hispanic review -- Vol. 11, no. 1-3 Washington, D.C."
289,DISTRICTS (634); SODALITIES (575); EXPLOITATION (661); MUSICAL INSTRUMENTS (534),"Dunn, Christopher. 1992. “Afro-Bahian Carnival: A Stage For Protest.” Afro-Hispanic Review 11 (1-3). Washington, D.C.: 11–20.",http://ehrafworldcultures.yale.edu/document?id=so11-008,13,by Christopher Dunn,John Beierle; 1998,English,Afro-Bahian carnival,so11-008,"Dunn, Christopher",journal article,8,"Salvador, Bahia, Brazil",not specified,ca. 1990,Ethnologist-5,"Afro-Hispanic review -- Vol. 11, no. 1-3 Washington, D.C."
290,CULTURAL IDENTITY AND PRIDE (186); MUSICAL INSTRUMENTS (534); SODALITIES (575),"Dunn, Christopher. 1992. “Afro-Bahian Carnival: A Stage For Protest.” Afro-Hispanic Review 11 (1-3). Washington, D.C.: 11–20.",http://ehrafworldcultures.yale.edu/document?id=so11-008,13,by Christopher Dunn,John Beierle; 1998,English,Afro-Bahian carnival,so11-008,"Dunn, Christopher",journal article,8,"Salvador, Bahia, Brazil",not specified,ca. 1990,Ethnologist-5,"Afro-Hispanic review -- Vol. 11, no. 1-3 Washington, D.C."
291,EDUCATION SYSTEM (871); CULTURAL IDENTITY AND PRIDE (186); SPECTACLES (541); SODALITIES (575),"Dunn, Christopher. 1992. “Afro-Bahian Carnival: A Stage For Protest.” Afro-Hispanic Review 11 (1-3). Washington, D.C.: 11–20.",http://ehrafworldcultures.yale.edu/document?id=so11-008,15,by Christopher Dunn,John Beierle; 1998,English,Afro-Bahian carnival,so11-008,"Dunn, Christopher",journal article,8,"Salvador, Bahia, Brazil",not specified,ca. 1990,Ethnologist-5,"Afro-Hispanic review -- Vol. 11, no. 1-3 Washington, D.C."
292,SPECIAL GARMENTS (292); TEXTS IN THE SPEAKER’S LANGUAGE (901); TEXTS TRANSLATED INTO ENGLISH (902); PERSONAL GROOMING (302); ETHNIC STRATIFICATION (563); CULTURAL IDENTITY AND PRIDE (186); SPECTACLES (541); SODALITIES (575),"Dunn, Christopher. 1992. “Afro-Bahian Carnival: A Stage For Protest.” Afro-Hispanic Review 11 (1-3). Washington, D.C.: 11–20.",http://ehrafworldcultures.yale.edu/document?id=so11-008,"14, 15",by Christopher Dunn,John Beierle; 1998,English,Afro-Bahian carnival,so11-008,"Dunn, Christopher",journal article,8,"Salvador, Bahia, Brazil",not specified,ca. 1990,Ethnologist-5,"Afro-Hispanic review -- Vol. 11, no. 1-3 Washington, D.C."
293,SODALITIES (575),"Dunn, Christopher. 1992. “Afro-Bahian Carnival: A Stage For Protest.” Afro-Hispanic Review 11 (1-3). Washington, D.C.: 11–20.",http://ehrafworldcultures.yale.edu/document?id=so11-008,15,by Christopher Dunn,John Beierle; 1998,English,Afro-Bahian carnival,so11-008,"Dunn, Christopher",journal article,8,"Salvador, Bahia, Brazil",not specified,ca. 1990,Ethnologist-5,"Afro-Hispanic review -- Vol. 11, no. 1-3 Washington, D.C."
294,TEXTS IN THE SPEAKER’S LANGUAGE (901); TEXTS TRANSLATED INTO ENGLISH (902); URBAN AND RURAL LIFE (369); ACCULTURATION AND CULTURE CONTACT (177); SLAVERY (567); CULTURAL IDENTITY AND PRIDE (186); POLITICAL MOVEMENTS (668); SODALITIES (575),"Dunn, Christopher. 1992. “Afro-Bahian Carnival: A Stage For Protest.” Afro-Hispanic Review 11 (1-3). Washington, D.C.: 11–20.",http://ehrafworldcultures.yale.edu/document?id=so11-008,"16, 17",by Christopher Dunn,John Beierle; 1998,English,Afro-Bahian carnival,so11-008,"Dunn, Christopher",journal article,8,"Salvador, Bahia, Brazil",not specified,ca. 1990,Ethnologist-5,"Afro-Hispanic review -- Vol. 11, no. 1-3 Washington, D.C."
295,TEXTS IN THE SPEAKER’S LANGUAGE (901); TEXTS TRANSLATED INTO ENGLISH (902); CULTURAL IDENTITY AND PRIDE (186); SODALITIES (575),"Dunn, Christopher. 1992. “Afro-Bahian Carnival: A Stage For Protest.” Afro-Hispanic Review 11 (1-3). Washington, D.C.: 11–20.",http://ehrafworldcultures.yale.edu/document?id=so11-008,17,by Christopher Dunn,John Beierle; 1998,English,Afro-Bahian carnival,so11-008,"Dunn, Christopher",journal article,8,"Salvador, Bahia, Brazil",not specified,ca. 1990,Ethnologist-5,"Afro-Hispanic review -- Vol. 11, no. 1-3 Washington, D.C."
296,TEXTS TRANSLATED INTO ENGLISH (902); TEXTS IN THE SPEAKER’S LANGUAGE (901); SODALITIES (575),"Dunn, Christopher. 1992. “Afro-Bahian Carnival: A Stage For Protest.” Afro-Hispanic Review 11 (1-3). Washington, D.C.: 11–20.",http://ehrafworldcultures.yale.edu/document?id=so11-008,17,by Christopher Dunn,John Beierle; 1998,English,Afro-Bahian carnival,so11-008,"Dunn, Christopher",journal article,8,"Salvador, Bahia, Brazil",not specified,ca. 1990,Ethnologist-5,"Afro-Hispanic review -- Vol. 11, no. 1-3 Washington, D.C."
297,TEXTS IN THE SPEAKER’S LANGUAGE (901); TEXTS TRANSLATED INTO ENGLISH (902); SLAVERY (567); REST DAYS AND HOLIDAYS (527); SODALITIES (575),"Dunn, Christopher. 1992. “Afro-Bahian Carnival: A Stage For Protest.” Afro-Hispanic Review 11 (1-3). Washington, D.C.: 11–20.",http://ehrafworldcultures.yale.edu/document?id=so11-008,"18, 19",by Christopher Dunn,John Beierle; 1998,English,Afro-Bahian carnival,so11-008,"Dunn, Christopher",journal article,8,"Salvador, Bahia, Brazil",not specified,ca. 1990,Ethnologist-5,"Afro-Hispanic review -- Vol. 11, no. 1-3 Washington, D.C."
