indx,singers_sex,singers_leader,singers_dance,audience_dance,religious,trance,ceremony,informal,appear,restrict,mimic,nowords,child_by,child_for,compose,improv,clap,stomp,instrument,cite_text_manual,cite_url_manual,cite_page_manual
634,Male,0,0,0,0,0,0,1,0,0,0,.,0,0,.,0,0,1,0,"McClintock, Walter. 1968. “Old North Trail: Or, Life, Legends And Religion Of The Blackfeet Indians.” Linclon: University of Nebraska Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-004,392
635,Both sexes,0,1,0,0,0,1,0,0,0,1,.,0,0,0,0,0,0,1,"Mountain Horse, Mike. 1979. “My People, The Bloods.” Calgary: Glenbow-Alberta Institute ; Blood Tribal Council.",http://ehrafworldcultures.yale.edu/document?id=nf06-064,62
636,Male,0,0,0,0,0,1,0,0,0,0,Humming/neutral syllables,0,0,0,0,0,0,0,"McClintock, Walter. 1968. “Old North Trail: Or, Life, Legends And Religion Of The Blackfeet Indians.” Linclon: University of Nebraska Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-004,243
637,Male,1,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,"Lancaster, Richard. 1966. “Piegan: A Look From Within At The Life, Times, And Legacy Of An American Indian Tribe.” Garden City, N. Y.: Doubleday.",http://ehrafworldcultures.yale.edu/document?id=nf06-054,307
638,Male,0,0,0,0,0,0,0,0,0,0,.,0,0,.,0,0,0,0,"Lancaster, Richard. 1966. “Piegan: A Look From Within At The Life, Times, And Legacy Of An American Indian Tribe.” Garden City, N. Y.: Doubleday.",http://ehrafworldcultures.yale.edu/document?id=nf06-054,145
639,Both sexes,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,"Lancaster, Richard. 1966. “Piegan: A Look From Within At The Life, Times, And Legacy Of An American Indian Tribe.” Garden City, N. Y.: Doubleday.",http://ehrafworldcultures.yale.edu/document?id=nf06-054,107
640,Male,0,0,0,0,0,0,1,0,0,0,.,0,0,0,0,0,0,0,"Lancaster, Richard. 1966. “Piegan: A Look From Within At The Life, Times, And Legacy Of An American Indian Tribe.” Garden City, N. Y.: Doubleday.",http://ehrafworldcultures.yale.edu/document?id=nf06-054,354
641,Both sexes,1,1,1,0,0,0,0,0,0,0,.,0,0,0,0,0,0,1,"McClintock, Walter. 1968. “Old North Trail: Or, Life, Legends And Religion Of The Blackfeet Indians.” Linclon: University of Nebraska Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-004,406
642,Both sexes,0,0,0,0,0,0,1,0,0,0,.,0,0,0,0,0,0,0,"McClintock, Walter. 1968. “Old North Trail: Or, Life, Legends And Religion Of The Blackfeet Indians.” Linclon: University of Nebraska Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-004,281
643,Male,0,0,0,0,0,0,0,0,0,0,.,0,0,.,0,0,0,0,"Lancaster, Richard. 1966. “Piegan: A Look From Within At The Life, Times, And Legacy Of An American Indian Tribe.” Garden City, N. Y.: Doubleday.",http://ehrafworldcultures.yale.edu/document?id=nf06-054,145
644,Male,0,0,0,0,0,1,0,0,0,0,.,0,0,0,0,0,0,0,"Lancaster, Richard. 1966. “Piegan: A Look From Within At The Life, Times, And Legacy Of An American Indian Tribe.” Garden City, N. Y.: Doubleday.",http://ehrafworldcultures.yale.edu/document?id=nf06-054,307
645,Male,1,0,0,0,0,0,1,0,0,0,.,0,0,0,0,0,0,0,"McClintock, Walter. 1968. “Old North Trail: Or, Life, Legends And Religion Of The Blackfeet Indians.” Linclon: University of Nebraska Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-004,226 and 227
646,Both sexes,0,0,0,0,0,1,0,0,0,0,.,0,0,0,0,0,0,1,"McFee, Malcolm. 1972. “Modern Blackfeet; Montanans On A Reservation.” Case Studies In Cultural Anthropology. New York: Holt, Rinehart and Winston.",http://ehrafworldcultures.yale.edu/document?id=nf06-006,2
647,Both sexes,1,0,0,0,0,1,0,0,0,1,.,0,0,0,0,0,0,0,"McClintock, Walter. 1968. “Old North Trail: Or, Life, Legends And Religion Of The Blackfeet Indians.” Linclon: University of Nebraska Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-004,85
648,.,1,0,0,0,0,0,1,0,1,0,.,0,0,1,0,0,0,0,"Mountain Horse, Mike. 1979. “My People, The Bloods.” Calgary: Glenbow-Alberta Institute ; Blood Tribal Council.",http://ehrafworldcultures.yale.edu/document?id=nf06-064,32
649,.,0,.,.,1,0,0,.,0,0,0,.,0,0,0,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,214
650,.,.,.,.,0,0,.,0,0,0,0,.,0,0,.,0,.,.,1,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,67
651,Female,0,.,.,0,0,0,0,0,0,1,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,211
652,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,350
653,.,.,1,0,0,0,.,.,0,1,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,16
654,Male,0,0,0,1,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,19
655,.,.,.,0,0,0,.,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,20
656,.,.,.,.,0,0,.,0,0,0,1,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,42
657,.,.,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,1,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,"85, 86"
658,.,.,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,1,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,"85, 86"
659,.,.,.,.,0,0,1,.,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,211
660,.,.,0,0,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,283
661,Male,1,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,0,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,129
662,.,.,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,130
663,.,.,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,130
664,Male,0,0,0,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,146
665,Male,0,0,0,1,0,0,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,146
666,Male,0,0,0,1,0,0,.,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,151
667,Male,0,0,0,0,0,0,.,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,154
668,.,0,.,.,0,0,0,.,0,0,0,.,0,0,0,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,156
669,.,0,.,.,0,0,.,.,0,0,0,.,0,0,0,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,156
670,Female,0,.,.,0,0,0,.,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,162
671,.,.,.,.,0,0,.,0,1,0,0,.,0,0,0,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,227
672,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,253
673,.,0,.,.,0,0,0,.,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,162
674,Male,0,.,.,0,0,.,.,0,0,0,Humming/neutral syllables,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,258
675,Both sexes,.,.,.,0,0,0,0,1,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,195
676,Male,0,.,.,0,0,0,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,256
677,Both sexes,0,.,.,0,0,0,.,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,223
678,Female,.,.,.,0,0,0,.,0,1,0,.,0,1,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,273
679,.,.,.,.,0,0,0,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,287
680,.,.,.,.,1,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,313
681,Male,1,1,.,0,0,.,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,315
682,Both sexes,1,.,.,1,0,0,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,334
683,.,1,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,345
684,Male,0,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,345
685,Male,.,.,.,0,0,.,.,0,1,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,349
686,.,.,.,.,0,0,.,.,0,1,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,349
687,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard. 1980. “Blackfeet And Buffalo: Memories Of Life Among The Indians.” Norman: University of Oklahoma Press.",http://ehrafworldcultures.yale.edu/document?id=nf06-024,350
688,.,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,89
689,.,0,.,.,0,0,.,.,0,0,0,.,0,0,0,0,.,.,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,106
690,Male,.,1,1,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,136
691,.,.,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,138
692,.,.,.,1,0,0,1,0,0,0,0,.,0,0,.,0,.,.,1,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,140
693,Male,0,0,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,144
694,Male,.,.,.,0,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,144
695,Male,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,145
696,Male,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,149
697,Male,1,.,1,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,150
698,Both sexes,.,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,1,0,"Schultz, James Willard, and Jessie Louise Donaldson. 1930. “Sun God’S Children.” Boston And New York: Houghton Mifflin Co.",http://ehrafworldcultures.yale.edu/document?id=nf06-067,155
699,.,.,1,.,0,0,0,1,0,0,0,.,0,0,.,1,.,.,1,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,375
700,.,0,.,.,0,0,1,1,0,0,0,.,0,0,1,0,0,0,1,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,387
701,.,0,1,0,0,0,0,1,0,0,0,.,0,0,0,0,0,0,1,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,449
702,.,0,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,1,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,448
703,Male,0,1,.,0,0,0,1,0,0,0,.,0,0,.,0,0,0,0,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,454
704,Both sexes,0,1,.,0,0,0,1,1,0,0,.,0,0,0,0,.,.,1,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,457
705,.,.,1,.,0,0,0,1,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,459
706,.,.,1,.,0,0,0,1,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,459
707,.,.,1,.,0,0,0,1,0,0,0,.,0,0,.,0,.,.,1,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,460
708,Male,0,0,0,0,0,0,1,0,0,0,.,0,0,1,0,0,0,0,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,460
709,Male,0,1,0,0,0,0,1,0,0,0,.,0,0,1,0,0,0,0,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,460
710,Both sexes,0,0,0,0,0,0,1,0,0,0,.,0,0,1,0,0,0,0,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,460
711,Male,0,0,0,0,0,0,1,0,0,0,.,0,0,1,0,0,0,0,"Wissler, Clark. 1913. “Societies And Dance Associations Of The Blackfoot Indians.” Anthropological Papers Of The American Museum Of Natural History. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-018,460
712,Both sexes,1,0,0,0,0,.,1,0,0,0,.,0,0,1,0,0,0,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,237
713,Female,.,0,0,0,0,1,0,0,0,0,.,0,0,0,0,0,0,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,236
714,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,238
715,.,0,0,0,1,0,1,0,0,0,0,.,0,0,.,0,0,0,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,239
716,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,.,0,0,0,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,238
717,Both sexes,1,0,0,0,0,.,1,0,0,0,.,0,0,1,0,0,0,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,237
718,Both sexes,1,.,.,1,0,1,0,1,0,0,.,0,0,.,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,244
719,.,.,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
720,Both sexes,1,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
721,.,.,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
722,Both sexes,1,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
723,Both sexes,0,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
724,Both sexes,1,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
725,Both sexes,1,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
726,Both sexes,1,.,.,1,0,1,0,1,0,0,.,0,0,.,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,244
727,Both sexes,1,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
728,Both sexes,0,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,244
729,Both sexes,0,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
730,Both sexes,1,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
731,Both sexes,0,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,244
732,.,.,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
733,.,1,.,.,0,0,0,1,0,0,0,.,0,0,.,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,244
734,Both sexes,1,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
735,Both sexes,1,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
736,Both sexes,1,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
737,Both sexes,1,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Wissler, Clark. 1918. “Sun Dance Of The Blackfoot Indians.” Anthropological Papers. New York: The Trustees.",http://ehrafworldcultures.yale.edu/document?id=nf06-023,245
